symbol,company_name,float,price,volume,percent_change,dollar_volume,day_range,timestamp,trades,avg_volume_5d,avg_range_5d,volume_surge_detected,volume_surge_ratio
GGR,Gogoro,9801895,3.85,6572,-3.99002493765585,25302.2,0.2,2025-11-12T00:00:00-05:00,,20309,0.22262,False,
FLUX,Flux Power Holdings,9810835,2.37,429479,-0.836820083682009,1017865.23,0.22,2025-11-12T00:00:00-05:00,,623868.8,0.243,False,
ATNI,ATN International,9904543,19.8,40184,-0.15128593040846,795643.2,0.699999999999999,2025-11-12T00:00:00-05:00,,77505,1.922,False,
PRE,Prenetics Global Limited Class A Ordinary Share,9933817,13.87,172148,7.26991492652745,2387692.76,1.1607,2025-11-12T00:00:00-05:00,,165083.4,1.17114,False,
NTWK,NetSol Technologies Inc. Common  Stock,9991074,2.965,526387,-24.9367088607595,1560737.455,0.62,2025-11-12T00:00:00-05:00,,164469.6,0.317,False,
TWIN,"Twin Disc, Incorporated",10172194,15.91,49862,-2.39263803680982,793304.42,0.390000000000001,2025-11-12T00:00:00-05:00,,61458,0.566,False,
LASE,Laser Photonics,10205591,3.19,283708,-3.62537764350454,905028.52,0.35,2025-11-12T00:00:00-05:00,,294022.8,0.28876,False,
FBRX,Forte Biosciences,10221049,14.46,45592,2.62597586941094,659260.32,0.810000000000001,2025-11-12T00:00:00-05:00,,73468.4,1.3474,False,
GROW,U.S. Global Investors,10223777,2.36,24996,-2.880658436214,58990.56,0.0600000000000001,2025-11-12T00:00:00-05:00,,20882.8,0.0797000000000002,False,
FTCI,FTC Solar,10262569,11.1,5478641,49.1935483870968,60812915.1,2.55,2025-11-12T00:00:00-05:00,,1149864.2,1.05614,False,
GENC,Gencor Industries,10277541,13.58,21469,0.36954915003696,291549.02,0.25,2025-11-12T00:00:00-05:00,,15724.4,0.34198,False,
FGMC,FG Merger II Corp. Common stock,10285813,10.0004,17053,-0.0959040959040853,170536.8212,0.00999999999999979,2025-11-12T00:00:00-05:00,,27787,0.0209999999999997,False,
RFAI,RF Acquisition Corp II,10309534,10.7,0,0,0,0,2025-11-12T00:00:00-05:00,,276.6,0,False,
HOFT,Hooker Furnishings,10312324,9.93,23872,0.353713996968167,237048.96,0.408,2025-11-12T00:00:00-05:00,,27885.4,0.45362,False,
INTT,inTEST,10350278,8.34,69747,3.21782178217822,581689.98,0.576000000000001,2025-11-12T00:00:00-05:00,,46840.4,0.4856,False,
VIRC,Virco Manufacturing,10359010,7.12,35307,-1.52143845089904,251385.84,0.2603,2025-11-12T00:00:00-05:00,,47546,0.23306,False,
TKNO,Alpha Teknova,10369136,4.46,132211,-8.9795918367347,589661.06,0.49,2025-11-12T00:00:00-05:00,,227216,0.43522,False,
ZDGE,Zedge,10411711,2.85,75364,3.63636363636364,214787.4,0.16,2025-11-12T00:00:00-05:00,,85206.2,0.17028,False,
SELF,Global Self Storage,10460861,5.05,25734,1.81451612903226,129956.7,0.12,2025-11-12T00:00:00-05:00,,20491.4,0.0968,False,
SGC,Superior Group of Companies,10501237,9.41,38535,1.51024811218987,362614.35,0.4733,2025-11-12T00:00:00-05:00,,59986,0.54562,False,
ULBI,Ultralife,10535907,5.76,45712,1.76678445229681,263301.12,0.3393,2025-11-12T00:00:00-05:00,,66355.6,0.38786,False,
ELTX,Elicio Therapeutics,10640361,9.19,90433,-0.433369447453964,831079.27,0.326499999999999,2025-11-12T00:00:00-05:00,,99787.2,0.4883,False,
LOVE,The Lovesac Company,10667717,13.57,250163,1.34428678117998,3394711.91,0.25,2025-11-12T00:00:00-05:00,,434307.6,0.4279,False,
AIRG,Airgain,10693911,3.82,53292,-4.1405269761606,203575.44,0.27,2025-11-12T00:00:00-05:00,,46554.8,0.192,False,
ANIK,Anika Therapeutics,10770055,10.1,101219,-0.296150049358353,1022311.9,0.244199999999999,2025-11-12T00:00:00-05:00,,131712,0.36682,False,
TZUP,Thumzup Media,10773541,3.985,102411,1.39949109414758,408107.835,0.24,2025-11-12T00:00:00-05:00,,164891.8,0.53012,False,
MLGO,MicroAlgo,10879809,8.35,136507,-0.595238095238104,1139833.45,0.5199,2025-11-12T00:00:00-05:00,,139274,0.45938,False,
VTSI,VirTra,10885197,4.85,59691,-2.8056112224449,289501.35,0.265000000000001,2025-11-12T00:00:00-05:00,,65009.2,0.36598,False,
ESLA,Estrella Immunopharma,10985499,2.1,625109,-16.3346613545817,1312728.9,0.45,2025-11-12T00:00:00-05:00,,513720.4,0.36,False,
TBCH,Turtle Beach,11058066,15.3,153677,0.13089005235603,2351258.1,0.34,2025-11-12T00:00:00-05:00,,408089.6,0.965,False,
STRZ,Starz Entertainment Corp. Common,11064153,10.86,110295,0.555555555555544,1197803.7,0.540000000000001,2025-11-12T00:00:00-05:00,,69221.4,0.536,False,
AARD,Aardvark Therapeutics,11112715,10.73,118249,-2.98372513562387,1268811.77,0.869999999999999,2025-11-12T00:00:00-05:00,,127880,0.87062,False,
ALMU,Aeluma,11113101,14.05,460633,-2.43055555555555,6471893.65,0.959999999999999,2025-11-12T00:00:00-05:00,,320388.4,1.2522,False,
AOUT,American Outdoor Brands,11212391,6.64,49860,-0.895522388059709,331070.4,0.186,2025-11-12T00:00:00-05:00,,74269.4,0.25776,False,
GSHR,Gesher Acquisition Corp. II,11231555,10.26,0,0,0,0,2025-11-12T00:00:00-05:00,,2247.8,0,False,
FORR,Forrester Research,11268019,7.95,123723,1.92307692307693,983597.85,0.3219,2025-11-12T00:00:00-05:00,,121006,0.32238,False,
XWIN,XMAX,11286838,5.61,536912,-0.177935943060494,3012076.32,0.23,2025-11-12T00:00:00-05:00,,591938,0.39798,False,
LCUT,Lifetime Brands,11319428,3.25,19315,1.24610591900312,62773.75,0.18,2025-11-12T00:00:00-05:00,,26246.4,0.16774,False,
KINS,Kingstone Companies,11444137,15.05,143883,0.871313672922257,2165439.15,0.375,2025-11-12T00:00:00-05:00,,180686.6,0.73498,False,
OPBK,OP Bancorp,11577286,13.31,24965,0.986342943854331,332284.15,0.2018,2025-11-12T00:00:00-05:00,,52569.8,0.23636,False,
AIRS,AirSculpt Technologies,11616342,6.1,969646,5.71923743500867,5914840.6,0.56,2025-11-12T00:00:00-05:00,,2913914.2,1.19778,False,
OM,Outset Medical,11661908,5.54,1710950,-10.9324758842444,9478663,0.87,2025-11-12T00:00:00-05:00,,1504019.6,1.1645,False,
ONEW,OneWater Marine,11799639,15.5,81680,2.78514588859416,1266040,0.73,2025-11-12T00:00:00-05:00,,138860.6,0.712,False,
ABTC,American Bitcoin,11831938,4.93,2635034,0.407331975560073,12990717.62,0.4,2025-11-12T00:00:00-05:00,,3017387,0.50972,False,
ADVM,Adverum Biotechnologies,11839264,4.3,255719,-0.692840646651276,1099591.7,0.0514999999999999,2025-11-12T00:00:00-05:00,,243451.6,0.0693,False,
GAUZ,Gauzy,11851286,4.35,98853,-2.24719101123597,430010.55,0.2101,2025-11-12T00:00:00-05:00,,64667.8,0.29602,False,
INUV,Inuvo,11859327,2.61,103163,-0.381679389312986,269255.43,0.1477,2025-11-12T00:00:00-05:00,,133535,0.23598,False,
AWRE,Aware,11895744,2.43,7243,-1.41987829614603,17600.49,0.0598999999999998,2025-11-12T00:00:00-05:00,,34045.6,0.1512,False,
RELL,Richardson Electronics,11962540,10.71,37912,2.98076923076924,406037.52,0.4199,2025-11-12T00:00:00-05:00,,65350.6,0.52688,False,
LYEL,Lyell Immunopharma,12047345,17.63,12957,2.20289855072463,228431.91,0.669999999999998,2025-11-12T00:00:00-05:00,,32451.6,1.679,False,
RAIL,FreightCar America,12112561,8.65,357238,-2.14932126696832,3090108.7,0.699999999999999,2025-11-12T00:00:00-05:00,,266108.6,0.82142,False,
USAU,U.S. Gold,12188521,15.81,245378,2.79583875162549,3879426.18,0.500000000000002,2025-11-12T00:00:00-05:00,,208974.2,0.647,False,
JMSB,John Marshall Bancorp,12301774,19.59,10890,1.45002589331953,213335.1,0.200000000000003,2025-11-12T00:00:00-05:00,,34831.8,0.995,False,
GWRS,Global Water Resources,12353908,9.9,60945,-1.68818272095333,603355.5,0.2887,2025-11-12T00:00:00-05:00,,56446,0.22076,False,
OCG,Oriental Culture Holding LTD,12404279,2.5517,242,13.9151785714286,617.5114,0,2025-11-12T00:00:00-05:00,,24693.4,0.134,False,
SLND,Southland Holdings,12553142,4.8,81298,5.72687224669603,390230.4,0.39,2025-11-12T00:00:00-05:00,,68587,0.22994,False,
ASRV,AmeriServ Financial,12607505,3.13,19898,0.643086816720258,62280.74,0.1,2025-11-12T00:00:00-05:00,,22008.8,0.0970400000000001,False,
DPRO,Draganfly Inc. Common,12609452,7.8,2163500,-3.7037037037037,16875300,0.780000000000001,2025-11-12T00:00:00-05:00,,2211748.2,0.981980000000001,False,
EVCM,EverCommerce,12666924,8.5,272966,0.235849056603769,2320211,0.35,2025-11-12T00:00:00-05:00,,454449.8,0.843999999999999,False,
