symbol,timestamp,last_price,ema_spread_pct,price_category,macd_histogram,market_session,squeeze_number_today,minutes_since_last_squeeze,window_volume_vs_1min_avg,distance_from_vwap_percent,day_gain,spy_percent_change_concurrent,spread_percent
RADX,2025-12-15T12:34:20.927572-05:00,10.36,-0.965250965250962,$10-20,-0.0594,mid_day,134,0.6,245.85,-5.89,157.2394366197183,,2.0270270270270183
GLSI,2025-12-15T09:30:32.099266-05:00,13.6476,-1.3189132155104173,$10-20,-0.0427,early,5,5.53,87.28,5.56,21.062441752096923,0.1,2.1249157361001267
BDRX,2025-12-15T12:02:27.300197-05:00,6.0,0.5000000000000042,$5-10,0.0177,mid_day,33,8.83,3.61,1.01,25.052631578947377,-0.54,2.3333333333333277
IMG,2025-12-15T09:08:02.069087-05:00,1.96,-6.122448979591842,<$2,-0.0141,extended,1,,106.71,1.79,19.117283950617274,-0.0,0.5102040816326535
KYTX,2025-12-15T10:51:50.534232-05:00,11.2917,-0.7970456175775114,$10-20,-0.0721,early,46,1.4,44.82,3.88,26.992027334851954,-0.4,0.44280312087638646
NTCL,2025-12-15T11:34:23.367810-05:00,0.9985,-1.0015022533800597,<$2,-0.0004,mid_day,23,0.52,60.85,3.67,37.90586833482275,-0.02,1.9929894842263423
KYTX,2025-12-15T10:07:16.569467-05:00,10.9988,-3.2730843364730653,$10-20,-0.1262,early,40,1.58,178.17,-0.58,25.968109339407757,-0.37,1.091028112157683
RADX,2025-12-15T10:52:24.641040-05:00,10.98,1.1839708561020108,$10-20,0.1954,early,83,1.03,322.5,-0.33,157.05399061032864,,0.8196721311475397
RADX,2025-12-15T10:17:44.879734-05:00,10.87,,$10-20,,early,62,1.55,244.23,1.5,152.8169014084507,,1.1959521619135143
AMCI,2025-12-15T09:37:41.147244-05:00,3.97,2.770780856423171,$2-5,0.0348,early,15,2.16,249.39,0.54,33.6554054054054,-0.01,0.2518891687657377
AMCI,2025-12-15T11:08:18.680438-05:00,6.725,-1.7843866171003735,$5-10,-0.0169,mid_day,87,1.62,406.56,0.6,124.32094594594594,-0.44,0.7434944237918322
ARTV,2025-12-15T11:05:08.013386-05:00,5.27,1.1385199240986812,$5-10,-0.0009,mid_day,28,1.2,171.9,0.75,55.90909090909091,-0.22,0.5692599620493406
CLYM,2025-12-15T11:49:59.250857-05:00,4.1,1.463414634146343,$2-5,-0.0078,mid_day,7,7.32,130.2,2.39,34.871518902192925,-0.65,0.48780487804879175
RADX,2025-12-15T11:32:35.596093-05:00,10.6101,-3.298743649918471,$10-20,-0.0761,mid_day,106,1.29,100.1,4.32,142.48826291079814,,1.225247641398281
RADX,2025-12-15T10:54:59.392747-05:00,11.26,1.776198934280649,$10-20,0.1692,early,85,0.54,417.2,5.33,147.887323943662,,0.7104795737122565
NTCL,2025-12-15T10:54:51.330529-05:00,0.92,-2.1739130434782625,<$2,-0.0156,early,2,0.78,28.49,3.75,29.60977062853738,-0.07,3.2717391304347845
AMCI,2025-12-15T12:33:26.913660-05:00,7.42,-0.26954177897574744,$5-10,0.0114,mid_day,148,2.67,219.83,1.18,146.95945945945945,-0.67,0.4043126684636152
KYTX,2025-12-15T10:13:30.517766-05:00,11.37,-2.0228671943711403,$10-20,0.0309,early,41,6.23,280.37,1.37,27.733485193621878,-0.49,0.967458223394894
RADX,2025-12-15T12:33:45.006271-05:00,11.06,-0.45207956600360694,$10-20,-0.052,mid_day,133,1.77,125.83,-3.15,164.0868544600939,,2.2603978300180834
NTCL,2025-12-15T11:02:54.862708-05:00,0.98,-2.0408163265306025,<$2,0.0056,mid_day,8,0.93,30.56,2.97,42.955019362526066,-0.06,0.03061224489795581
RADX,2025-12-15T12:30:02.859499-05:00,11.48,-0.6968641114982584,$10-20,-0.0953,mid_day,131,5.68,55.5,2.05,163.09389671361504,,2.1777003484320554
AMCI,2025-12-15T11:14:10.413414-05:00,7.06,-1.133144475920681,$5-10,0.0598,mid_day,92,1.54,406.4,0.6,141.55067567567568,-0.5,0.2832861189801765
AMCI,2025-12-15T12:11:40.814251-05:00,7.3201,-3.551864045573157,$5-10,-0.0104,mid_day,142,2.24,316.55,-0.26,145.8277027027027,-0.55,0.40983046679690505
ARTV,2025-12-15T09:54:36.250744-05:00,4.8401,2.2726803165223926,$2-5,-0.0214,early,3,0.92,251.95,-0.57,45.75757575757575,0.03,1.0330365075101717
KYTX,2025-12-15T10:57:23.003685-05:00,10.906,-2.384008802494054,$10-20,-0.0861,early,48,2.44,13.23,3.22,20.7858769931663,-0.53,0.1833852924995539
KYTX,2025-12-15T10:05:41.677034-05:00,11.2,-3.8392857142857117,$10-20,-0.1614,early,39,4.76,130.71,2.99,24.03189066059227,-0.33,1.2499999999999893
RADX,2025-12-15T12:08:54.471897-05:00,11.8692,3.5385704175513086,$10-20,0.1531,mid_day,120,2.17,85.47,-2.29,178.87323943661974,,0.6740134128669166
CLYM,2025-12-15T12:16:25.946254-05:00,4.24,0.9433962264150951,$2-5,0.0028,mid_day,8,26.44,225.35,2.25,39.91658818781112,-0.65,0.23584905660376854
RADX,2025-12-15T09:46:04.966983-05:00,13.7765,0.21776213116539858,$10-20,0.0428,early,40,5.7,681.72,-1.83,231.45539906103286,,1.45174754110261
MASK,2025-12-15T09:58:12.362411-05:00,0.5946,1.681802892700977,<$2,-0.0013,early,7,0.5,985.93,4.01,91.61955437312936,-0.12,0.08409014463505818
ARTV,2025-12-15T10:30:33.742395-05:00,4.7999,2.083376737015347,$2-5,0.0311,early,13,2.26,183.83,2.29,42.403030303030306,-0.4,0.41667534740308054
KYTX,2025-12-15T11:05:16.981672-05:00,10.87,-1.379944802207915,$10-20,0.0366,mid_day,51,5.56,36.91,0.23,23.4123006833713,-0.5,0.919963201471938
RADX,2025-12-15T11:10:40.239973-05:00,12.6,2.61904761904762,$10-20,-0.0429,mid_day,99,0.58,457.79,5.75,180.37558685446012,,0.8730158730158686
KYTX,2025-12-15T09:30:40.921855-05:00,12.415,0.32219089810713597,$10-20,-0.0382,early,21,0.71,151.55,2.21,39.52164009111618,0.08,0.5638340716874629
AMCI,2025-12-15T09:51:28.492055-05:00,4.16,1.6826923076923037,$2-5,-0.0059,early,22,0.56,651.42,4.33,35.13513513513514,-0.23,0.24038461538461023
GLSI,2025-12-15T09:47:33.823430-05:00,12.66,-1.7377567140600225,$10-20,-0.0696,early,21,0.86,17.71,2.17,15.470643056849953,-0.18,2.448657187993685
HYFM,2025-12-15T09:48:57.042672-05:00,2.4299,,$2-5,,early,2,1.22,19.68,-1.65,22.705314009661848,-0.24,1.2346187085888412
